endpoint_code,endpoint_family,description
ACTIVITY_ADD_001,ACTIVITY_ADD,добавление активности
ACTIVITY_OTHER_001,ACTIVITY_OTHER,прочие операции активности
ACTIVITY_OTHER_002,ACTIVITY_OTHER,прочие операции активности
AUTH_ACTION_001,AUTH_ACTION,действия авторизации
AUTH_ACTION_002,AUTH_ACTION,действия авторизации
AUTH_ACTION_003,AUTH_ACTION,действия авторизации
AUTH_ACTION_004,AUTH_ACTION,действия авторизации
AUTH_ACTION_005,AUTH_ACTION,действия авторизации
CAPTCHA_ACTION_001,CAPTCHA_ACTION,"операции, связанные с капчей"
CAPTCHA_ACTION_002,CAPTCHA_ACTION,"операции, связанные с капчей"
CAPTCHA_CHECK_001,CAPTCHA_CHECK,проверка необходимости капчи
EXTERNAL_INTEGRATION_001,EXTERNAL_INTEGRATION,внешняя интеграция
EXTERNAL_INTEGRATION_002,EXTERNAL_INTEGRATION,внешняя интеграция
EXTERNAL_INTEGRATION_003,EXTERNAL_INTEGRATION,внешняя интеграция
FACILITY_GET_001,FACILITY_GET,получение карточки объекта
FACILITY_OTHER_001,FACILITY_OTHER,прочие операции объекта
FACILITY_OTHER_002,FACILITY_OTHER,прочие операции объекта
FACILITY_OTHER_003,FACILITY_OTHER,прочие операции объекта
FACILITY_OTHER_004,FACILITY_OTHER,прочие операции объекта
FACILITY_OTHER_005,FACILITY_OTHER,прочие операции объекта
FACILITY_OTHER_006,FACILITY_OTHER,прочие операции объекта
FACILITY_OTHER_007,FACILITY_OTHER,прочие операции объекта
FACILITY_OTHER_008,FACILITY_OTHER,прочие операции объекта
FACILITY_OTHER_009,FACILITY_OTHER,прочие операции объекта
FACILITY_OTHER_010,FACILITY_OTHER,прочие операции объекта
FACILITY_OTHER_011,FACILITY_OTHER,прочие операции объекта
FACILITY_SEARCH_001,FACILITY_SEARCH,поиск объектов
HANDBOOK_AVAILABLE_COUNTRIES_001,HANDBOOK_AVAILABLE_COUNTRIES,справочник доступных стран
HANDBOOK_OTHER_001,HANDBOOK_OTHER,прочие справочники
HANDBOOK_OTHER_002,HANDBOOK_OTHER,прочие справочники
HANDBOOK_OTHER_003,HANDBOOK_OTHER,прочие справочники
HANDBOOK_OTHER_004,HANDBOOK_OTHER,прочие справочники
